"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races"
"1400000US22097961300","Census Tract 9613, St. Landry Parish, Louisiana","4125","426","670","263","3403","419","0","13","0","13","0","13","5","10","47","50","0","13","47","50"
"1400000US22097961400","Census Tract 9614, St. Landry Parish, Louisiana","4211","508","705","265","3437","503","0","13","0","13","0","13","50","78","19","34","0","13","19","34"
"1400000US22097961500","Census Tract 9615, St. Landry Parish, Louisiana","5081","502","2572","454","2398","369","40","59","21","27","0","18","0","18","50","45","0","18","50","45"
"1400000US22097961600","Census Tract 9616, St. Landry Parish, Louisiana","4125","531","212","112","3884","512","14","19","0","13","0","13","0","13","15","24","0","13","15","24"
"1400000US22097961700","Census Tract 9617, St. Landry Parish, Louisiana","7871","691","4748","714","2976","955","37","52","0","18","0","18","28","34","82","117","0","18","82","117"
"1400000US22097961800","Census Tract 9618, St. Landry Parish, Louisiana","7354","635","6047","592","1077","251","25","40","0","18","0","18","0","18","205","119","42","47","163","112"
"1400000US22097961900","Census Tract 9619, St. Landry Parish, Louisiana","3489","385","1773","315","1661","252","0","13","11","17","0","13","44","65","0","13","0","13","0","13"
"1400000US22099020100","Census Tract 201, St. Martin Parish, Louisiana","4821","498","4252","622","559","468","0","13","10","16","0","13","0","13","0","13","0","13","0","13"
"1400000US22099020200","Census Tract 202, St. Martin Parish, Louisiana","7171","705","5094","660","1984","548","0","18","0","18","0","18","52","80","41","48","0","18","41","48"
"1400000US22099020301","Census Tract 203.01, St. Martin Parish, Louisiana","4707","522","3197","471","1242","311","0","13","16","41","0","13","104","120","148","119","0","13","148","119"
"1400000US22099020302","Census Tract 203.02, St. Martin Parish, Louisiana","8673","716","6537","693","1230","399","130","168","442","91","0","18","2","5","332","243","12","18","320","241"
"1400000US22099020400","Census Tract 204, St. Martin Parish, Louisiana","6790","639","4763","580","1894","329","88","124","0","18","0","18","15","26","30","49","0","18","30","49"
"1400000US22099020501","Census Tract 205.01, St. Martin Parish, Louisiana","5726","716","2664","708","2850","597","0","18","0","18","0","18","12","24","200","201","0","18","200","201"
"1400000US22099020502","Census Tract 205.02, St. Martin Parish, Louisiana","4044","465","2422","372","1474","480","11","18","17","31","0","13","0","13","120","176","0","13","120","176"
"1400000US22099020600","Census Tract 206, St. Martin Parish, Louisiana","5444","503","2615","456","2629","504","53","82","25","25","0","18","0","18","122","149","0","18","122","149"
"1400000US22099020800","Census Tract 208, St. Martin Parish, Louisiana","2866","322","1813","271","942","256","32","55","23","31","0","13","0","13","56","77","0","13","56","77"
"1400000US22099020900","Census Tract 209, St. Martin Parish, Louisiana","1969","255","1093","166","825","218","0","13","0","13","0","13","0","13","51","55","8","12","43","53"
"1400000US22099021000","Census Tract 210, St. Martin Parish, Louisiana","1521","156","1424","153","0","13","0","13","3","6","0","13","71","85","23","25","14","20","9","14"
"1400000US22101040100","Census Tract 401, St. Mary Parish, Louisiana","2768","501","704","274","660","339","45","52","312","211","0","13","732","428","315","222","0","13","315","222"
"1400000US22101040200","Census Tract 402, St. Mary Parish, Louisiana","4559","472","3575","438","633","268","77","65","55","58","0","13","219","239","0","13","0","13","0","13"
"1400000US22101040300","Census Tract 403, St. Mary Parish, Louisiana","2823","591","1449","360","959","412","87","76","16","24","0","13","129","145","183","207","0","13","183","207"
"1400000US22101040400","Census Tract 404, St. Mary Parish, Louisiana","3803","502","2544","465","975","449","11","16","0","13","0","13","185","132","88","78","0","13","88","78"
"1400000US22101040500","Census Tract 405, St. Mary Parish, Louisiana","4739","146","3956","302","532","252","91","90","0","13","0","13","89","133","71","59","0","13","71","59"
"1400000US22101040600","Census Tract 406, St. Mary Parish, Louisiana","4451","465","3760","447","334","175","23","25","38","56","0","13","121","89","175","163","9","17","166","162"
"1400000US22101040700","Census Tract 407, St. Mary Parish, Louisiana","3481","349","1595","311","1626","329","21","29","0","13","0","13","118","116","121","96","0","13","121","96"
"1400000US22101040800","Census Tract 408, St. Mary Parish, Louisiana","5098","498","3652","515","895","288","83","77","199","160","0","18","22","32","247","134","0","18","247","134"
"1400000US22101040900","Census Tract 409, St. Mary Parish, Louisiana","3281","415","2193","289","810","332","0","13","27","41","0","13","0","13","251","224","7","12","244","221"
"1400000US22101041000","Census Tract 410, St. Mary Parish, Louisiana","3414","442","1929","371","776","288","311","105","29","34","5","6","4","7","360","214","0","13","360","214"
"1400000US22101041100","Census Tract 411, St. Mary Parish, Louisiana","1658","317","495","114","1120","313","40","53","0","13","0","13","0","13","3","6","0","13","3","6"
"1400000US22101041200","Census Tract 412, St. Mary Parish, Louisiana","1977","418","489","153","1383","365","6","9","0","13","0","13","13","20","86","94","0","13","86","94"
